input_text,output_text
"Название мероприятия: Хакатон по искусственному интеллекту. Дата: 15.06.2025. Время: 10:00. Окончание: 18:00. Место проведения: Москва, Технопарк Сколково. Формат: Очный. Категория: Хакатон. Количество участников: 120. Описание: Участники за 24 часа создадут прототипы нейросетей для предсказания спроса. Цель: Создание работающих моделей и привлечение кадров в AI. Спикеры: Алексей Федотов (Яндекс), Мария Соколова (Сбер). Аудитория: Дата-сайентисты и ML-инженеры. Организатор: Фонд Сколково.","15 июня в московском Технопарке «Сколково» стартовал хакатон по искусственному интеллекту. Участникам предстоит за 24 часа разработать прототипы нейросетей для прогнозирования спроса. В мероприятии участвуют 120 специалистов; победителей ждут призы от Яндекса и Сбера."
"Название мероприятия: Конференция по кибербезопасности. Дата: 22.07.2025. Время: 09:30. Окончание: 17:00. Место проведения: Санкт-Петербург, Экспофорум. Формат: Очный. Категория: Конференция. Количество участников: 300. Описание: Обсуждение защиты персональных данных, DDoS-атак и законодательства. Цель: Повышение квалификации специалистов. Спикеры: Игорь Волков (Лаборатория Касперского), Анна Белова (Роскомнадзор). Аудитория: Системные администраторы и аналитики ИБ. Организатор: Ассоциация «Инфофорум».","22 июля в Санкт-Петербурге состоится конференция по кибербезопасности. Ведущие эксперты из Лаборатории Касперского и Роскомнадзора обсудят защиту персональных данных, отражение DDoS-атак и новые законодательные требования. Участие примут 300 специалистов в области информационной безопасности."
"Название мероприятия: Мастер-класс по 3D-моделированию. Дата: 05.08.2025. Время: 14:00. Окончание: 18:00. Место проведения: Екатеринбург, IT-парк. Формат: Очный. Категория: Мастер-класс. Количество участников: 25. Описание: Знакомство с Blender, создание 3D-персонажа и анимация. Цель: Практические навыки для начинающих дизайнеров. Спикеры: Михаил Орлов (CG-художник, студия «Пластилин»). Аудитория: Дизайнеры и иллюстраторы. Организатор: Академия цифровых искусств.","5 августа в екатеринбургском IT-парке пройдёт мастер-класс по 3D-моделированию. Участники под руководством CG-художника Михаила Орлова научатся создавать персонажей в Blender и анимировать их. Количество мест ограничено – 25 человек."
"Название мероприятия: Вебинар по управлению проектами. Дата: 12.09.2025. Время: 11:00. Окончание: 13:00. Место проведения: Онлайн (Zoom). Формат: Онлайн. Категория: Вебинар. Количество участников: 200. Описание: Agile, Scrum, Kanban и управление рисками. Цель: Систематизация знаний для PM. Спикеры: Дмитрий Лебедев (Senior PM, VK). Аудитория: Руководители отделов и менеджеры проектов. Организатор: Школа управления «Лидер».","12 сентября состоится бесплатный вебинар по управлению проектами. Дмитрий Лебедев, Senior PM из VK, расскажет об Agile, Scrum, Kanban и методах управления рисками. Участие примут до 200 руководителей и проект-менеджеров."
"Название мероприятия: Фестиваль робототехники. Дата: 28.06.2025. Время: 10:00. Окончание: 20:00. Место проведения: Казань, Выставочный центр «Казань Экспо». Формат: Очный. Категория: Фестиваль. Количество участников: 800. Описание: Соревнования роботов, лекции, выставка технологий. Цель: Популяризация инженерных профессий среди школьников. Спикеры: Павел Смирнов (Роббо), Елена Ковалёва (Университет Иннополис). Аудитория: Школьники и студенты технических вузов. Организатор: Минцифры Татарстана.","28 июня в Казани пройдёт фестиваль робототехники. Школьники и студенты увидят соревнования роботов, посетят лекции ведущих экспертов Роббо и Университета Иннополис. Ожидается 800 участников, цель фестиваля – привлечь молодёжь в инженерные специальности."
"Название мероприятия: Круглый стол по устойчивому развитию. Дата: 03.10.2025. Время: 15:00. Окончание: 17:30. Место проведения: Онлайн (Webex). Формат: Онлайн. Категория: Круглый стол. Количество участников: 50. Описание: ESG-повестка, углеродный след, зелёные технологии. Цель: Обмен опытом между компаниями. Спикеры: Татьяна Григорьева (КРОС), Игорь Никитин (Русал). Аудитория: Экологи и PR-директора. Организатор: Российский союз промышленников и предпринимателей.","3 октября в онлайн-формате состоится круглый стол по устойчивому развитию. Эксперты КРОС и Русала обсудят ESG-повестку, снижение углеродного следа и внедрение зелёных технологий. Мероприятие рассчитано на 50 представителей компаний, занимающихся экологией и корпоративной коммуникацией."
"Название мероприятия: Лекция о современных нейросетях. Дата: 20.11.2025. Время: 18:30. Окончание: 20:30. Место проведения: Новосибирск, Академпарк. Формат: Очный. Категория: Лекция. Количество участников: 100. Описание: Архитектуры трансформеров, диффузионные модели, практические примеры. Цель: Образовательная для IT-специалистов. Спикеры: Андрей Соколов (PhD, МФТИ). Аудитория: Разработчики, дата-сайентисты. Организатор: Институт математики СО РАН.","20 ноября в новосибирском Академпарке пройдёт лекция о современных нейросетях. Андрей Соколов, кандидат физико-математических наук, расскажет о трансформерах и диффузионных моделях. Лекция рассчитана на 100 IT-специалистов и дата-сайентистов."
"Название мероприятия: Тренинг по ораторскому мастерству. Дата: 17.12.2025. Время: 10:00. Окончание: 17:00. Место проведения: Нижний Новгород, Коворкинг «Высота». Формат: Очный. Категория: Тренинг. Количество участников: 20. Описание: Работа с голосом, аргументация, борьба со страхом сцены. Цель: Улучшение коммуникативных навыков руководителей. Спикеры: Ольга Смирнова (тренер по речи, эксперт «Сколково»). Аудитория: Руководители среднего звена. Организатор: Корпоративный университет ГК «Агро».","17 декабря в Нижнем Новгороде пройдёт тренинг по ораторскому мастерству для руководителей. Участники под руководством эксперта Ольги Смирновой научатся уверенно выступать, аргументировать и справляться с волнением. Количество мест ограничено – всего 20 человек."
"Название мероприятия: Выставка инновационных стартапов. Дата: 08.04.2026. Время: 12:00. Окончание: 19:00. Место проведения: Ростов-на-Дону, Конгресс-холл ДГТУ. Формат: Очный. Категория: Выставка. Количество участников: 200. Описание: Презентации проектов в сфере EdTech, FinTech, MedTech. Цель: Поиск инвесторов для стартапов. Спикеры: Инвестиционный комитет «ФРИИ». Аудитория: Стартаперы, инвесторы, технологические предприниматели. Организатор: Донской государственный технический университет.","8 апреля в Ростове-на-Дону откроется выставка инновационных стартапов. Проекты из EdTech, FinTech и MedTech представят свои разработки потенциальным инвесторам. Мероприятие соберёт 200 участников – предпринимателей и представителей венчурного фонда ФРИИ."
"Название мероприятия: Семинар по блокчейну. Дата: 25.02.2026. Время: 14:00. Окончание: 16:30. Место проведения: Онлайн (Discord). Формат: Онлайн. Категория: Семинар. Количество участников: 150. Описание: Смарт-контракты, DeFi, NFT. Цель: Повышение грамотности в области криптотехнологий. Спикеры: Владимир Петров (разработчик Solidity, ConsenSys). Аудитория: Программисты и финансовые аналитики. Организатор: Криптосообщество «Бигтех».","25 февраля в онлайн-формате пройдёт семинар по блокчейну. Разработчик из ConsenSys Владимир Петров расскажет о смарт-контрактах, DeFi и NFT. Участниками станут 150 программистов и финансовых аналитиков."
"Название мероприятия: Деловая игра «Управление кризисом». Дата: 11.03.2026. Время: 09:00. Окончание: 18:00. Место проведения: Самара, Бизнес-центр «Нефтяник». Формат: Очный. Категория: Деловая игра. Количество участников: 40. Описание: Команды решают задачи по антикризисному управлению, моделированию рисков. Цель: Развитие управленческих навыков. Спикеры: Сергей Морозов (бизнес-консультант). Аудитория: Топ-менеджеры средних компаний. Организатор: Ассоциация предпринимателей Самарской области.","11 марта в Самаре пройдёт деловая игра «Управление кризисом». Сорок топ-менеджеров под руководством бизнес-консультанта Сергея Морозова будут моделировать кризисные ситуации и отрабатывать антикризисные решения."
"Название мероприятия: Спектакль «Цифра» (иммерсивный). Дата: 19.05.2026. Время: 19:00. Окончание: 21:30. Место проведения: Москва, Центр им. Мейерхольда. Формат: Очный. Категория: Спектакль. Количество участников: 80. Описание: Интерактивный спектакль о влиянии алгоритмов на общество. Цель: Художественное осмысление цифровой реальности. Спикеры: Режиссёр Александр Петров, драматург Мария Ильина. Аудитория: Широкая публика (16+). Организатор: Театральная компания «Сцена».","19 мая в Москве состоится иммерсивный спектакль «Цифра», посвящённый влиянию алгоритмов на жизнь человека. Режиссёр Александр Петров и драматург Мария Ильина приглашают зрителей (80 мест) в интерактивное путешествие по цифровой реальности."
"Название мероприятия: Кинопоказ документального фильма «Стартап». Дата: 30.06.2026. Время: 20:00. Окончание: 22:00. Место проведения: Онлайн (YouTube-трансляция). Формат: Онлайн. Категория: Кинопоказ. Количество участников: 500. Описание: Фильм о российских технологических предпринимателях с последующим обсуждением. Цель: Мотивация к открытию своего дела. Спикеры: Продюсер Олег Смирнов, основатель «Модульбанка» Михаил Мень. Аудитория: Начинающие предприниматели. Организатор: Платформа «Деловая среда».","30 июня в онлайн-формате пройдёт кинопоказ документального фильма «Стартап». После просмотра зрители смогут обсудить ленту с продюсером Олегом Смирновым и основателем «Модульбанка» Михаилом Менем. Ожидается до 500 начинающих предпринимателей."
"Название мероприятия: Презентация программы акселератора для стартапов. Дата: 05.07.2026. Время: 11:00. Окончание: 13:00. Место проведения: Онлайн (Webinar). Формат: Онлайн. Категория: Презентация. Количество участников: 150. Описание: Условия участия, треки, наставники. Цель: Привлечь 20 стартапов на акселерацию. Спикеры: Директор акселератора «Генезис» Юлия Новикова. Аудитория: Технологические предприниматели. Организатор: Акселератор «Генезис».","5 июля пройдёт онлайн-презентация акселерационной программы для стартапов. Директор акселератора «Генезис» Юлия Новикова расскажет об условиях отбора, треках и наставниках. Участие бесплатное для 150 технологических предпринимателей."
"Название мероприятия: Хакатон по интернету вещей. Дата: 18.08.2026. Время: 09:00. Окончание: 21:00. Место проведения: Томск, Технопарк ТГУ. Формат: Очный. Категория: Хакатон. Количество участников: 60. Описание: Разработка прототипов умных датчиков для АПК. Цель: Внедрение IoT в сельское хозяйство. Спикеры: Эксперты Ростелекома, ТУСУР. Аудитория: Инженеры, разработчики встраиваемых систем. Организатор: Томский государственный университет.","18 августа в Томске стартует хакатон по интернету вещей для агропромышленного комплекса. 60 инженеров и разработчиков за один день создадут прототипы умных датчиков. Помогать участникам будут эксперты Ростелекома и ТУСУР."
"Название мероприятия: Лекция о биоинформатике. Дата: 09.09.2026. Время: 17:00. Окончание: 19:00. Место проведения: Онлайн (Zoom). Формат: Онлайн. Категория: Лекция. Количество участников: 200. Описание: Применение машинного обучения в геномике. Цель: Популяризация междисциплинарных исследований. Спикеры: Доктор биологических наук Елена Воронцова (МГУ). Аудитория: Биологи и программисты. Организатор: Факультет биоинженерии МГУ.","9 сентября состоится онлайн-лекция по биоинформатике. Доктор биологических наук Елена Воронцова расскажет о применении машинного обучения в геномике. Лекция рассчитана на 200 биологов и программистов."
"Название мероприятия: Вебинар по финансовой грамотности для школьников. Дата: 14.10.2026. Время: 14:30. Окончание: 16:00. Место проведения: Онлайн (Discord). Формат: Онлайн. Категория: Вебинар. Количество участников: 300. Описание: Бюджетирование, сбережения, первые инвестиции. Цель: Повышение финансовой грамотности молодёжи. Спикеры: Эксперт «Тинькофф» Нина Смирнова. Аудитория: Школьники 14-18 лет. Организатор: Проект «Финансовая культура».","14 октября пройдёт вебинар по финансовой грамотности для школьников. Эксперт «Тинькофф» Нина Смирнова расскажет о бюджетировании, сбережениях и первых инвестициях. Участниками станут 300 старшеклассников."
"Название мероприятия: Круглый стол по цифровизации образования. Дата: 27.11.2026. Время: 11:00. Окончание: 13:30. Место проведения: Онлайн (Webex). Формат: Онлайн. Категория: Круглый стол. Количество участников: 70. Описание: AI-помощники в обучении, интерактивные платформы. Цель: Обсуждение стратегии цифровой трансформации школ. Спикеры: Руководитель проекта «МЭШ» Алексей Иванов. Аудитория: Учителя и администраторы школ. Организатор: Департамент образования Москвы.","27 ноября в онлайн-формате состоится круглый стол по цифровизации образования. Участники обсудят внедрение AI-помощников и интерактивных платформ в школах. Ведущий – руководитель проекта «Московская электронная школа» Алексей Иванов. К участию приглашены 70 педагогов и администраторов."
"Название мероприятия: Мастер-класс по мобильной фотографии. Дата: 09.12.2026. Время: 16:00. Окончание: 19:00. Место проведения: Воронеж, ТРЦ «Максимир». Формат: Очный. Категория: Мастер-класс. Количество участников: 30. Описание: Композиция, обработка в Lightroom, съёмка портретов. Цель: Развитие творческих навыков у любителей. Спикеры: Профессиональный фотограф Юлия Соколова. Аудитория: Широкая публика (14+). Организатор: Студия фотографии «Кадр».","9 декабря в Воронеже пройдёт мастер-класс по мобильной фотографии. Профессиональный фотограф Юлия Соколова научит участников создавать выразительные кадры, работать с композицией и обрабатывать снимки в Lightroom. Занятие рассчитано на 30 человек."
"Название мероприятия: Хакатон по разработке мобильных приложений. Дата: 22.01.2027. Время: 10:00. Окончание: 22:00. Место проведения: Пермь, Технопарк «Радуга». Формат: Очный. Категория: Хакатон. Количество участников: 80. Описание: Создание MVP приложений для городских сервисов. Цель: Разработка прототипов за 1 день. Спикеры: iOS-разработчик из Redmadrobot Андрей Савельев. Аудитория: Разработчики (iOS, Android). Организатор: Цифровая экосистема «Пермь».","22 января в Перми состоится хакатон по созданию мобильных приложений для городских сервисов. 80 разработчиков за один день под руководством эксперта из Redmadrobot Андрея Савельева создадут MVP прототипов."
"Название мероприятия: Конференция по UX/UI дизайну. Дата: 05.02.2027. Время: 10:00. Окончание: 18:00. Место проведения: Краснодар, КВЦ «Экспоград». Формат: Очный. Категория: Конференция. Количество участников: 250. Описание: Тренды веб-дизайна, проектирование интерфейсов, user research. Цель: Обмен опытом дизайнеров. Спикеры: Директор дизайн-студии «Бюро» Кирилл Шишкин. Аудитория: Дизайнеры, product-менеджеры. Организатор: Ассоциация дизайнеров Кубани.","5 февраля в Краснодаре пройдёт конференция по UX/UI дизайну. Дизайнеры и product-менеджеры обсудят тренды веб-дизайна, прототипирование и исследование пользователей. В мероприятии примут участие 250 специалистов из Южного федерального округа."
"Название мероприятия: Вебинар «Нейросети для маркетологов». Дата: 18.03.2027. Время: 12:00. Окончание: 13:30. Место проведения: Онлайн (YouTube). Формат: Онлайн. Категория: Вебинар. Количество участников: 500. Описание: Генерация контента, таргетинг, аналитика. Цель: Применение AI в маркетинге. Спикеры: Head of Marketing AI в Sber Сергей Калинин. Аудитория: Маркетологи и PR-специалисты. Организатор: СберМаркетинг.","18 марта состоится вебинар по использованию нейросетей в маркетинге. Сергей Калинин, глава маркетингового AI в Сбере, покажет, как генерировать контент, настраивать таргетинг и проводить аналитику. Вебинар соберёт до 500 маркетологов."
"Название мероприятия: Лекция о космических технологиях. Дата: 10.04.2027. Время: 15:00. Окончание: 17:00. Место проведения: Онлайн (Zoom). Формат: Онлайн. Категория: Лекция. Количество участников: 200. Описание: Спутникостроение, малые космические аппараты. Цель: Популяризация космической отрасли. Спикеры: Летчик-космонавт Сергей Рязанский. Аудитория: Студенты технических вузов. Организатор: Роскосмос.","10 апреля онлайн-лекцию о космических технологиях проведёт лётчик-космонавт Сергей Рязанский. Он расскажет о современном спутникостроении и малых космических аппаратах. Лекция рассчитана на 200 студентов технических вузов."
"Название мероприятия: Тимбилдинг «Гонки на дронах». Дата: 25.05.2027. Время: 13:00. Окончание: 17:00. Место проведения: Уфа, Стадион «Акбузат». Формат: Очный. Категория: Тимбилдинг. Количество участников: 60. Описание: Командные соревнования по управлению квадрокоптерами. Цель: Сплочение команд IT-компаний. Спикеры: Пилоты дрон-рейсинга «Воздушная лига». Аудитория: Сотрудники IT-отделов. Организатор: Клуб спортивных дронов Уфы.","25 мая в Уфе пройдёт тимбилдинг в формате гонок на дронах. Шестьдесят участников из IT-компаний разделятся на команды и посоревнуются в управлении квадрокоптерами. Мероприятие организовано совместно с клубом «Воздушная лига»."
"Название мероприятия: Семинар по пилотированию БПЛА. Дата: 08.06.2027. Время: 10:00. Окончание: 15:00. Место проведения: Омск, Аэродром «Фёдоровка». Формат: Очный. Категория: Семинар. Количество участников: 35. Описание: Теория и практика управления дронами, регистрация БВС. Цель: Подготовка внешних пилотов. Спикеры: Инструктор Центра «Беспилотные системы» Игорь Быков. Аудитория: Желающие получить разрешение на полёты. Организатор: ДОСААФ Омск.","8 июня в Омске пройдёт семинар по пилотированию беспилотников. Инструктор Игорь Быков обучит 35 участников теории и практике управления дронами, а также расскажет о регистрации и получении разрешений."
"Название мероприятия: Хакатон по чат-ботам для бизнеса. Дата: 19.07.2027. Время: 09:00. Окончание: 18:00. Место проведения: Онлайн (GitHub + Discord). Формат: Онлайн. Категория: Хакатон. Количество участников: 100. Описание: Разработка ботов на платформе Telegram для малого бизнеса. Цель: Создать решения для автоматизации заказов. Спикеры: Александр Морозов (AI-архитектор, VK). Аудитория: Python-разработчики. Организатор: Клуб разработчиков VK.","19 июля стартует онлайн-хакатон по созданию чат-ботов для малого бизнеса. Участникам предстоит за день разработать Telegram-ботов для автоматизации заказов. Ментор – Александр Морозов из VK. Ожидается 100 Python-разработчиков."
"Название мероприятия: Конференция по робототехнике в промышленности. Дата: 05.08.2027. Время: 10:00. Окончание: 18:00. Место проведения: Челябинск, Дворец спорта «Юность». Формат: Очный. Категория: Конференция. Количество участников: 400. Описание: Промышленные роботы, автоматизация складов, коботы. Цель: Презентация решений для заводов. Спикеры: Директор по инновациям KUKA Россия, представители «Авито Роботикс». Аудитория: Инженеры, технологи. Организатор: Союз машиностроителей Челябинской области.","5 августа в Челябинске откроется конференция по промышленной робототехнике. 400 инженеров увидят новейшие коботы и системы автоматизации складов от KUKA и «Авито Роботикс». Мероприятие посетят представители крупных заводов региона."
"Название мероприятия: Мастер-класс по цифровому искусству. Дата: 22.09.2027. Время: 14:00. Окончание: 18:00. Место проведения: Красноярск, Музей современного искусства. Формат: Очный. Категория: Мастер-класс. Количество участников: 25. Описание: Рисование на планшете, создание персонажей в Procreate. Цель: Развитие навыков цифрового рисунка. Спикеры: Иллюстратор Лена Зайцева (издательство «МИФ»). Аудитория: Художники и дизайнеры. Организатор: Красноярская художественная галерея.","22 сентября в Красноярске пройдёт мастер-класс по цифровому искусству. Иллюстратор издательства «МИФ» Лена Зайцева научит 25 участников рисовать на планшете в Procreate и создавать персонажей."
"Название мероприятия: Вебинар о программе лояльности для клиентов. Дата: 08.10.2027. Время: 16:00. Окончание: 17:30. Место проведения: Онлайн (Webinar). Формат: Онлайн. Категория: Вебинар. Количество участников: 250. Описание: Технологии геймификации, интеграция с CRM. Цель: Увеличение удержания клиентов. Спикеры: Руководитель отдела лояльности Т-Банка Ольга Гусева. Аудитория: Маркетологи, владельцы малого бизнеса. Организатор: Т-Банк.","8 октября пройдёт онлайн-вебинар о современных программах лояльности. Руководитель направления Т-Банка Ольга Гусева расскажет о геймификации и интеграции с CRM. Вебинар рассчитан на 250 маркетологов и предпринимателей."
